Date,donor,jem-id_cell_specimen,cell_specimen_id ,type of experiment,injection region,virus,jem-status_reporter,jem-id_patched_cell_container,jem-roi_minor,jem-nucleus_post_patch,link_ims_20x ,ims63x_go_no_go ,image_series_63x_qc ,link_ims_63x ,Annotated structure,x,y,z,notes,Unofficial structure,rnaamp_fail,exp_component_name,Genes.Detected.CPM,ephys_roi_id,ephys_qc,storage_directory,failed_bad_rs,failed_electrode_0,failed_no_seal,ephys_fx_extraction,qualitative_call_type_I_II
10/27/22,,C57BL6J-647687.09.06.01,1221572804,,,,Negative,P4S4_221027_152_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1226253489,63x go,deferred,http://lims2/focal_plane_image_series?id=1245756527,PPN,9941.983398,4345.217773,4924,,LC,FALSE,AB-S40317_S470_E1-50,10240,1221572770,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod3648/Ephys_Roi_Result_1221572770/,FALSE,FALSE,TRUE,yes,
2/9/23,,Rbp4-Cre_KL100;Ai14-661820.08.06.05,1246112075,,,,Positive,P4S4_230209_155_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1250428352,63x go,deferred,http://lims2/focal_plane_image_series?id=1267947799,PB,10502.85449,4350.614746,4651,,LC,FALSE,AB-S40324_S758_E1-50,9624,1246112032,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3688/Ephys_Roi_Result_1246112032/,FALSE,FALSE,FALSE,yes,
6/2/23,,Dbh-Cre_KH212;RCL-H2B-GFP-676766.10.06.01,1274322564,,,,Positive,P4S4_230602_151_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1277608590,63x go,deferred,http://lims2/focal_plane_image_series?id=1301656025,LDT,10501.4082,4252.699707,5034,,LC_genotype,FALSE,AB-S40335_S430_E1-50,9546,1274322537,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3746/Ephys_Roi_Result_1274322537/,FALSE,FALSE,FALSE,yes,
11/2/22,,Rbp4-Cre_KL100;Ai14-650443.10.06.03,1223279348,,,,Negative,P4S4_221102_156_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1226253574,63x go,deferred,http://lims2/focal_plane_image_series?id=1250673973,,,,,,PB,FALSE,AB-S40318_S394_E1-50,9441,1223279327,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod3649/Ephys_Roi_Result_1223279327/,FALSE,FALSE,TRUE,yes,
11/2/22,,Rbp4-Cre_KL100;Ai14-650443.10.06.01,1223263383,,,,Negative,P4S4_221102_154_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1226253574,63x no go,,,,,,,,PB,FALSE,AB-S40318_S392_E1-50,7968,1223263357,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3649/Ephys_Roi_Result_1223263357/,FALSE,FALSE,FALSE,yes,
11/2/22,,Rbp4-Cre_KL100;Ai14-650443.10.06.02,1223270873,,,,Negative,P4S4_221102_155_A01,LC,unknown,http://lims2/focal_plane_image_series?id=1226253574,63x no go,,,PPN,10079.94727,4292.918457,4614.725586,,LC,FALSE,AB-S40318_S393_E1-50,7675,1223270843,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod3649/Ephys_Roi_Result_1223270843/,FALSE,FALSE,TRUE,yes,
11/11/22,,Pvalb-IRES-Cre;Ai14-650959.11.06.01,1225369554,,,,Negative,P4S4_221111_151_A01,LC,nucleus_absent,http://lims2/focal_plane_image_series?id=1229415841,,,,LDT,10309.90918,4242.053223,4924.47998,,LC,TRUE,AB-S40318_S468_E1-50,3922,1225369531,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3659/Ephys_Roi_Result_1225369531/,FALSE,FALSE,FALSE,yes,
11/11/22,,Pvalb-IRES-Cre;Ai14-650959.11.06.03,1225399677,,,,Negative,P4S4_221111_152_A01,LC,unknown,http://lims2/focal_plane_image_series?id=1229415841,63x no go,,,P,10298.79199,3951.856201,4924.47998,,LC,FALSE,AB-S40318_S469_E1-50,6612,1225399459,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3660/Ephys_Roi_Result_1225399459/,FALSE,FALSE,FALSE,yes,
6/2/23,,Dbh-Cre_KH212;RCL-H2B-GFP-676766.10.06.02,1274336748,,,,Positive,P4S4_230602_152_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1277608590,63x go,deferred,http://lims2/focal_plane_image_series?id=1303026220,LDT,10424.48242,4059.01001,5034,,LC_genotype,FALSE,AB-S40335_S431_E1-50,11027,1274336712,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3746/Ephys_Roi_Result_1274336712/,FALSE,FALSE,FALSE,yes,
11/15/22,,Dbh-Cre_KH212;RCL-Sun1sfGFP-neo-650884.08.06.01,1226243650,,,,Negative,PNS4_221115_851_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1229416009,63x no go,,,PB,10385.08496,3905.39917,4237,,LC,FALSE,AB-S40319_S589_E1-50,11451,1226243627,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3662/Ephys_Roi_Result_1226243627/,FALSE,FALSE,FALSE,yes,
9/22/23,,Dbh-Cre_KH212;RCL-H2B-GFP-695527.10.06.02,1298856942,,,,Positive,P6S4_230922_403_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1302746026,63x go,deferred,http://lims2/focal_plane_image_series?id=1342724459,NTS,12264.18262,5218.503906,4998,,LC_genotype,FALSE,AB-S40347_S382_E1-50,9976,1298856658,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod3797/Ephys_Roi_Result_1298856658/,FALSE,FALSE,TRUE,yes,
11/15/22,,Dbh-Cre_KH212;RCL-Sun1sfGFP-neo-650884.09.06.02,1226263121,,,,Negative,P4S4_221115_152_A01,LC,unknown,http://lims2/focal_plane_image_series?id=1229416089,63x no go,,,PB,10251.69727,4221.268066,4590,,LC,FALSE,AB-S40318_S476_E1-50,9661,1226263087,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3662/Ephys_Roi_Result_1226263087/,FALSE,FALSE,FALSE,yes,
1/4/24,,Dbh-Cre_KH212;RCL-H2B-GFP-710877.11.06.02,1321654152,,,,Positive,P4S4_240104_152_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1327945056,63x go,deferred,http://lims2/focal_plane_image_series?id=1364664491,LDT,10384.82621,4159.570313,4932.195352,,LC_genotype,FALSE,AB-S40356_S585_E1-50,8875,1321654119,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3853/Ephys_Roi_Result_1321654119/,FALSE,FALSE,FALSE,yes,
